restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude,url,image_url
Holy Guacamole - Love Lane,"Mexican,Latin,Bar","65 Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,754,5.4187526,100.3366283,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d13202451-Reviews-Holy_Guacamole_Love_Lane-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/12/51/63/de/on-the-table.jpg
Indigo Restaurant at The Blue Mansion,"French,European,Fusion","14 Lebuh Leith 14 Leith Street, George Town, Penang Island 10200 Malaysia",3,4.5,325,5.421531,100.3348789,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d8342506-Reviews-Indigo_Restaurant_at_The_Blue_Mansion-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/1a/a2/69/ab/cold-laksa.jpg
Lagenda Cafe,"Cafe,Asian,Malaysian","2 Carnavon Street, George Town, Penang Island 10100 Malaysia",2,4.5,356,5.4180068,100.3361969,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d9722743-Reviews-Lagenda_Cafe-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/1b/b8/7e/fd/img-20200808-183527-largejpg.jpg
Jawi House Cafe Gallery,"Malaysian,Arabic,Vegetarian Friendly","85 Armeniam Street, George Town, Penang Island 10200 Malaysia",2,4.5,665,5.4155932,100.336611,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d4702129-Reviews-Jawi_House_Cafe_Gallery-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/0e/f4/8d/6c/photo2jpg.jpg
Bistro Tang,"Cafe,Asian,Fusion","82-A Penang Street, George Town, Penang Island 10200 Malaysia",2,4.5,247,5.4176519,100.3402589,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5263957-Reviews-Bistro_Tang-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/04/c6/81/96/tang-bistro.jpg
Edelweiss Cafe,"Swiss,Vegetarian Friendly","38 Armeniam Street, George Town, Penang Island 10200 Malaysia",2,4.5,294,5.4150939,100.3377819,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d911540-Reviews-Edelweiss_Cafe-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/12/bc/92/33/edelweiss-cafe.jpg
Living Room Cafe Bar & Gallery,"International,Asian,Fusion","43 C Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,1697,5.4686929,100.2429518,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d1933723-Reviews-Living_Room_Cafe_Bar_Gallery-Batu_Ferringhi_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/01/ea/25/6e/ben-amy-work.jpg
Mews Cafe,"Cafe,Asian,Nonya/Malaysian","77 Lebuh Muntri, George Town, Penang Island 10200 Malaysia",2,4.5,1190,5.4199338,100.3351201,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d2314633-Reviews-Mews_Cafe-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/0b/c6/71/ca/mews-cafe.jpg
Tek Sen Restaurant,"Malaysian,Vegetarian Friendly,Vegan Options","18 Lebuh Carnarvon, George Town, Penang Island 10100 Malaysia",2,4.5,1582,5.417437,100.335962,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d1899837-Reviews-Tek_Sen_Restaurant-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-p/12/f9/66/ec/photo1jpg.jpg
Feringgi Grill,"European,Vegetarian Friendly,Vegan Options","Jalan Batu Ferringi Shangri-La's Rasa Sayang Resort and Spa, Batu Ferringhi, Penang Island 11100 Malaysia",3,4.5,488,5.4780334,100.2541146,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d2236337-Reviews-Feringgi_Grill-Batu_Ferringhi_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/13/b8/36/bb/roast-wagyu-prime-rib.jpg
Boatman Restaurant,"Chinese,Asian,Malaysian","No. 46, Batu Ferringhi, Penang Island Malaysia",1,4.5,312,5.47124,100.246491,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d1776455-Reviews-Boatman_Restaurant-Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/05/27/4f/8c/boatman-restaurant.jpg
US Pizza,"Italian,American,Pizza","3D Lorong Delima Greenlane, George Town, Penang Island 11700 Malaysia",2,5,160,5.3835104,100.3030902,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d10344818-Reviews-US_Pizza-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-p/11/38/b3/ce/us-pizza.jpg
Enca Cafe & Restaurant,"Indian,Asian,Malaysian","Jalan Batu Feringghi, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,425,5.477061,100.2533085,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d2520044-Reviews-Enca_Cafe_Restaurant-Batu_Ferringhi_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/0e/e7/af/16/photo0jpg.jpg
Lavish,"Cafe,Fusion,Vegetarian Friendly","214, Lebuh Victoria, Penang Island 10300 Malaysia",2,4.5,1537,5.414283,100.3401192,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d11765432-Reviews-Lavish-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
D'Loovi's,"Bar,Asian,Pub","24, Lebuh Melayu, George Town, Penang Island 10100 Malaysia",2,5,93,5.4132342,100.3354677,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d9608457-Reviews-D_Loovi_s-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/1c/b0/92/44/diablo-chicken-wings.jpg
