restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude
Sarkies Corner,"International,Asian,Malaysian","10 Lebuh Farquhar Chinatown, George Town, Penang Island 10200 Malaysia",2,4,401,5.4233727,100.3356682
Kimberly Street Koay Chiap,"Chinese,Asian,Malaysian","Kimberly Street, George Town, Penang Island 10200 Malaysia",1,4,216,5.41687,100.3319316
Din Tai Fung @ Penang Gurney Plaza,"Chinese,Asian,Taiwanese","Lot B1-05C, Basement 1 Penang Gurney Plaza, George Town, Penang Island 10250 Malaysia",2,4.5,113,5.4380431,100.3100232
Soul Cafe,"Italian,Cafe,European","12 Jalan Kek Chuan, George Town, Penang Island 10400 Malaysia",2,4,144,5.4151043,100.3245416
Viva Victoria,"European,Asian,Fusion","169 Lebuh Victoria, George Town, Penang Island 10300 Malaysia",2,4.5,50,5.4136238,100.3385844
Beach Cafe,"Cafe,Asian,Malaysian","Jalan Batu Ferringhi Batu Ferringhi Beach, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,90,5.4734004,100.2460575
Siam Road Charcoal Char Koay Teow,"Asian,Malaysian","Siam Road Off Jalan Anson, George Town, Penang Island 10400 Malaysia",1,4,135,5.4155987,100.3202894
Gusto Cafe,"Cafe,International,Vegetarian Friendly","4 Jalan Sungai Kelian Tanjung Bunga 11200, Penang Island 11200 Malaysia",2,4.5,145,5.4649592,100.2912248
No.11 Specialty Restaurant,Fusion,"11, Jalan Teluk Bahang, Teluk Bahang, Penang Island 11050 Malaysia",,5,45,5.4619591,100.2195809
Bali Hai Seafood Market,"Chinese,Seafood,Asian","Bali Hai Seafood Market Bali Hai Seafood Market 90 Persiaran Gurney, Penang Island 10250 Malaysia",2,4,421,5.4337976,100.3153693
Let's Meat,"American,Cafe,Diner","18 Lebuh Lembah Permai 4, Tanjung Bungah, Penang Island 11200 Malaysia",2,4.5,80,5.4544125,100.2904433
Antarabangsa Enterprise,,"21 Lorong Stewart Behind the Goddess of Mercy Temple, George Town, Penang Island 10200 Malaysia",1,4.5,54,5.4184719,100.3387599
Winn's Cafe,Malaysian,"2 Irrawady Road Georgetown, Penang Island 10250 Malaysia",2,4.5,73,5.4141307,100.3287506
Chulia Court,"Bar,Vegetarian Friendly","355 Lebuh Chulia, George Town, Penang Island 10200 Malaysia",2,4,213,5.4183684,100.3360259
DeHappy Seafood Restaurant,"Chinese,Seafood,Asian","58 Macalister Opposite BSN Bank Macalister Road, George Town, Penang Island 10400 Malaysia",2,4,259,5.417906,100.3205568
The View,"French,European,Gluten Free Options","1 Jalan Bukit Jambul Hotel Equatorial Penang, Bayan Lepas, Penang Island 11900 Malaysia",3,4.5,74,5.337476,100.2845764
